"{1.0684073464102066, 0.01, -0.34511211557747984}","{1.0684073464102066, 0.21000000000000002, -0.3837574967303857}","{1.0684073464102066, 0.41000000000000003, -0.4853308180186918}","{1.0684073464102066, 0.6100000000000001, -0.6441208967011267}","{1.0684073464102066, 0.81, -0.9388975646423571}","{1.0684073464102066, 1.01, -1.2992651416936138}","{1.0684073464102066, 1.2100000000000002, -1.7064149389139782}","{1.0684073464102066, 1.4100000000000001, -2.2523540468299466}","{1.0684073464102066, 1.61, -2.6414861801569347}","{1.0684073464102066, 1.81, -2.9966407412208893}","{1.0684073464102066, 2.01, -3.2139838800297476}","{1.0684073464102066, 2.21, -3.3000443771825476}","{1.0684073464102066, 2.41, -3.2601054952767745}","{1.0684073464102066, 2.61, -3.144255126059074}","{1.0684073464102066, 2.81, -3.0348060284583642}","{1.0684073464102066, 3.01, -2.86369780226425}"
"{1.268407346410207, 0.01, -0.2833674165285018}","{1.268407346410207, 0.21000000000000002, -0.29711199302709057}","{1.268407346410207, 0.41000000000000003, -0.3776806336372721}","{1.268407346410207, 0.6100000000000001, -0.528879678170896}","{1.268407346410207, 0.81, -0.7766057291077486}","{1.268407346410207, 1.01, -1.098277926295079}","{1.268407346410207, 1.2100000000000002, -1.5311192441801422}","{1.268407346410207, 1.4100000000000001, -2.008477498661767}","{1.268407346410207, 1.61, -2.4542802846780347}","{1.268407346410207, 1.81, -2.8453087370602663}","{1.268407346410207, 2.01, -3.0532563957334267}","{1.268407346410207, 2.21, -3.1513757360253454}","{1.268407346410207, 2.41, -3.179777634954599}","{1.268407346410207, 2.61, -3.0218697914116937}","{1.268407346410207, 2.81, -2.8915952195760193}","{1.268407346410207, 3.01, -2.8715246555177893}"
"{1.468407346410207, 0.01, -0.20291057950424615}","{1.468407346410207, 0.21000000000000002, -0.21238292301272543}","{1.468407346410207, 0.41000000000000003, -0.28114262432146014}","{1.468407346410207, 0.6100000000000001, -0.44522766258691887}","{1.468407346410207, 0.81, -0.6535750990513227}","{1.468407346410207, 1.01, -0.9708158909369209}","{1.468407346410207, 1.2100000000000002, -1.4126977700430212}","{1.468407346410207, 1.4100000000000001, -1.819866838430607}","{1.468407346410207, 1.61, -2.2394914570424125}","{1.468407346410207, 1.81, -2.6267517335151425}","{1.468407346410207, 2.01, -2.8200934670600217}","{1.468407346410207, 2.21, -3.018833637409851}","{1.468407346410207, 2.41, -2.956645299185689}","{1.468407346410207, 2.61, -2.860335743175165}","{1.468407346410207, 2.81, -2.8417360489527743}","{1.468407346410207, 3.01, -2.715536115593009}"
"{1.6684073464102074, 0.01, -0.10594615537503399}","{1.6684073464102074, 0.21000000000000002, -0.1366991381304205}","{1.6684073464102074, 0.41000000000000003, -0.22131912581284488}","{1.6684073464102074, 0.6100000000000001, -0.3798879282492658}","{1.6684073464102074, 0.81, -0.5975738284241874}","{1.6684073464102074, 1.01, -0.9048015545789552}","{1.6684073464102074, 1.2100000000000002, -1.2543150235902634}","{1.6684073464102074, 1.4100000000000001, -1.6709686308656486}","{1.6684073464102074, 1.61, -2.0664346235995947}","{1.6684073464102074, 1.81, -2.4006352807948343}","{1.6684073464102074, 2.01, -2.587403648615339}","{1.6684073464102074, 2.21, -2.7558995906127093}","{1.6684073464102074, 2.41, -2.7856650522977224}","{1.6684073464102074, 2.61, -2.786356304479562}","{1.6684073464102074, 2.81, -2.6841411207085626}","{1.6684073464102074, 3.01, -2.6496155737443154}"
"{1.8684073464102073, 0.01, -0.020525924399747594}","{1.8684073464102073, 0.21000000000000002, -0.056084063490238346}","{1.8684073464102073, 0.41000000000000003, -0.14896340464650748}","{1.8684073464102073, 0.6100000000000001, -0.3045505367321706}","{1.8684073464102073, 0.81, -0.49665439441548104}","{1.8684073464102073, 1.01, -0.8039123422230883}","{1.8684073464102073, 1.2100000000000002, -1.0822087238304217}","{1.8684073464102073, 1.4100000000000001, -1.4394673461342582}","{1.8684073464102073, 1.61, -1.7717465978354852}","{1.8684073464102073, 1.81, -2.1002992669846687}","{1.8684073464102073, 2.01, -2.3870190986674302}","{1.8684073464102073, 2.21, -2.5294773787670124}","{1.8684073464102073, 2.41, -2.583854656533158}","{1.8684073464102073, 2.61, -2.6695841127242517}","{1.8684073464102073, 2.81, -2.497823388379821}","{1.8684073464102073, 3.01, -2.482188215450924}"
"{2.068407346410207, 0.01, 0.05607069875138084}","{2.068407346410207, 0.21000000000000002, -0.0023748037228868424}","{2.068407346410207, 0.41000000000000003, -0.05415002463137944}","{2.068407346410207, 0.6100000000000001, -0.1624011409522614}","{2.068407346410207, 0.81, -0.39183281431260564}","{2.068407346410207, 1.01, -0.6107555679050054}","{2.068407346410207, 1.2100000000000002, -0.8974618145008838}","{2.068407346410207, 1.4100000000000001, -1.1232734790241043}","{2.068407346410207, 1.61, -1.531149662558636}","{2.068407346410207, 1.81, -1.8173504922140187}","{2.068407346410207, 2.01, -2.0871552053549065}","{2.068407346410207, 2.21, -2.2328514786681595}","{2.068407346410207, 2.41, -2.3879482625640653}","{2.068407346410207, 2.61, -2.3716252616871136}","{2.068407346410207, 2.81, -2.451371246823965}","{2.068407346410207, 3.01, -2.4122837504834074}"
"{2.268407346410207, 0.01, 0.12292867791022227}","{2.268407346410207, 0.21000000000000002, 0.09852337987327106}","{2.268407346410207, 0.41000000000000003, 0.04132303912559408}","{2.268407346410207, 0.6100000000000001, -0.10104711189527732}","{2.268407346410207, 0.81, -0.2414505217314111}","{2.268407346410207, 1.01, -0.38232749125279364}","{2.268407346410207, 1.2100000000000002, -0.6118476432937514}","{2.268407346410207, 1.4100000000000001, -0.8667214632697684}","{2.268407346410207, 1.61, -1.1451067255066119}","{2.268407346410207, 1.81, -1.406286937797367}","{2.268407346410207, 2.01, -1.684236316172008}","{2.268407346410207, 2.21, -1.9067893241951221}","{2.268407346410207, 2.41, -2.065888492796408}","{2.268407346410207, 2.61, -2.1753058553836957}","{2.268407346410207, 2.81, -2.372343965871031}","{2.268407346410207, 3.01, -2.3224504857046835}"
"{2.468407346410207, 0.01, 0.2056877822027336}","{2.468407346410207, 0.21000000000000002, 0.16060299860815178}","{2.468407346410207, 0.41000000000000003, 0.12223797349523707}","{2.468407346410207, 0.6100000000000001, 0.05864686532603654}","{2.468407346410207, 0.81, -0.06364652408222574}","{2.468407346410207, 1.01, -0.16151090272546326}","{2.468407346410207, 1.2100000000000002, -0.31620916392513776}","{2.468407346410207, 1.4100000000000001, -0.5220288938402803}","{2.468407346410207, 1.61, -0.8085336958169049}","{2.468407346410207, 1.81, -1.0313362231054093}","{2.468407346410207, 2.01, -1.3206828684234806}","{2.468407346410207, 2.21, -1.6077017953877408}","{2.468407346410207, 2.41, -1.8577069741030712}","{2.468407346410207, 2.61, -2.0653953068228583}","{2.468407346410207, 2.81, -2.165355470889765}","{2.468407346410207, 3.01, -2.283161497793828}"
"{2.6684073464102074, 0.01, 0.24360039966260466}","{2.6684073464102074, 0.21000000000000002, 0.23845210136039915}","{2.6684073464102074, 0.41000000000000003, 0.1870165193325336}","{2.6684073464102074, 0.6100000000000001, 0.1972833407340783}","{2.6684073464102074, 0.81, 0.10313622196509833}","{2.6684073464102074, 1.01, 0.11052772051224913}","{2.6684073464102074, 1.2100000000000002, 0.0010429955882084938}","{2.6684073464102074, 1.4100000000000001, -0.20264123462346695}","{2.6684073464102074, 1.61, -0.43317742199337106}","{2.6684073464102074, 1.81, -0.6972445153329418}","{2.6684073464102074, 2.01, -1.0320850850448169}","{2.6684073464102074, 2.21, -1.367321720920337}","{2.6684073464102074, 2.41, -1.6374377945453658}","{2.6684073464102074, 2.61, -1.872167704946667}","{2.6684073464102074, 2.81, -2.1212211116275794}","{2.6684073464102074, 3.01, -2.177583463380774}"
"{2.8684073464102067, 0.01, 0.2590205657369869}","{2.8684073464102067, 0.21000000000000002, 0.24926443318587993}","{2.8684073464102067, 0.41000000000000003, 0.23226601050617482}","{2.8684073464102067, 0.6100000000000001, 0.23043559529051844}","{2.8684073464102067, 0.81, 0.24228868014878163}","{2.8684073464102067, 1.01, 0.25533674287673486}","{2.8684073464102067, 1.2100000000000002, 0.226421096593482}","{2.8684073464102067, 1.4100000000000001, 0.03127741041700384}","{2.8684073464102067, 1.61, -0.11242878879631146}","{2.8684073464102067, 1.81, -0.44257415782689824}","{2.8684073464102067, 2.01, -0.7054222559422241}","{2.8684073464102067, 2.21, -1.1013388085016342}","{2.8684073464102067, 2.41, -1.5159764579528219}","{2.8684073464102067, 2.61, -1.8042501199248822}","{2.8684073464102067, 2.81, -2.074927813614406}","{2.8684073464102067, 3.01, -2.1762766313707043}"
